entityId,count,firstAt,lastAt,windowSec,user,userRole
VESPERTINO_1-2_G1_cultura_digital_ii_P1,301,2026-04-16T02:31:20.168Z,2026-04-16T02:31:30.153Z,9.98,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,289,2026-04-16T02:30:40.057Z,2026-04-16T02:30:49.955Z,9.90,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,278,2026-04-16T02:30:50.117Z,2026-04-16T02:31:00.093Z,9.98,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,270,2026-04-16T02:30:09.979Z,2026-04-16T02:30:19.973Z,9.99,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,270,2026-04-16T02:31:00.123Z,2026-04-16T02:31:10.117Z,9.99,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,261,2026-04-16T02:30:30.028Z,2026-04-16T02:30:40.027Z,10.00,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,251,2026-04-16T02:30:20.001Z,2026-04-16T02:30:29.971Z,9.97,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,246,2026-04-16T02:31:10.147Z,2026-04-16T02:31:20.047Z,9.90,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,228,2026-04-16T02:31:30.207Z,2026-04-16T02:31:39.129Z,8.92,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
MATUTINO_2-3_G2_temas_selectos_de_igualdad_y_derechos_hu_P1,217,2026-05-07T02:36:26.835Z,2026-05-07T02:36:34.564Z,7.73,"OLIVIA PEÑA RAMIREZ",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P1,56,2026-04-16T02:31:40.310Z,2026-04-16T02:31:42.521Z,2.21,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
MATUTINO_1-2_G1_ciencias_sociales_ii_P1,53,2026-05-07T02:29:26.923Z,2026-05-07T02:29:29.782Z,2.86,"OLIVIA PEÑA RAMIREZ",admin
VESPERTINO_1-1_G1_ciencias_sociales_ii_P1,46,2026-04-16T02:21:57.882Z,2026-04-16T02:22:00.216Z,2.33,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
MATUTINO_3-1_G3_actividades_artísticas_y_culturales_iii_P1,26,2026-04-15T13:52:05.609Z,2026-04-15T13:52:06.638Z,1.03,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
MATUTINO_3-3_G3_ciencias_de_la_comunicación_i_P1,18,2026-04-29T13:57:30.115Z,2026-04-29T13:57:30.848Z,0.73,"ADMINISTRADOR",admin
MATUTINO_1-1_G1_ciencias_sociales_ii_P1,12,2026-04-15T14:23:02.483Z,2026-04-15T14:23:03.613Z,1.13,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_ciencias_sociales_ii_P1,10,2026-04-16T02:20:19.515Z,2026-04-16T02:20:20.236Z,0.72,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-2_G1_cultura_digital_ii_P3,10,2026-04-16T02:30:27.276Z,2026-04-16T02:30:27.593Z,0.32,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
wKpwPRXY3pmU0wLoBlOa_G1_ciencias_naturales_experimentales_y_tecn_P1,9,2026-04-16T04:21:47.762Z,2026-04-16T04:21:48.105Z,0.34,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
VESPERTINO_1-3_G1_cultura_digital_ii_P1,8,2026-04-16T02:31:43.307Z,2026-04-16T02:31:43.545Z,0.24,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
wKpwPRXY3pmU0wLoBlOa_G1_ciencias_naturales_experimentales_y_tecn_P1,8,2026-04-16T04:23:44.505Z,2026-04-16T04:23:44.901Z,0.40,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
MATUTINO_3-3_G3_ciencias_de_la_comunicación_i_P1,5,2026-04-15T19:36:09.653Z,2026-04-15T19:36:10.080Z,0.43,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
wKpwPRXY3pmU0wLoBlOa_G1_ciencias_naturales_experimentales_y_tecn_P1,5,2026-04-16T04:20:59.703Z,2026-04-16T04:20:59.965Z,0.26,"ESCUELA PREPARATORIA OFICAL 67 EPO 67",admin
